FROM,TO,ROCK,AU,AG,CU,XCOLLAR,YCOLLAR,ZCOLLAR
155.633,158.133,1.0,1.09626,72.46853401,0.64651602,1954.685181,384.528595,649.6762085
158.133,160.633,1.0,0.9403,22.00662012,1.77249149,1954.685181,384.528595,649.6762085
160.633,163.133,1.0,2.45197,50.7220698,0.0,1954.685181,384.528595,649.6762085
163.133,165.633,1.0,2.67108,69.60356617,0.4166721,1954.685181,384.528595,649.6762085
165.633,168.133,1.0,3.5051,117.1349472,2.35074106,1954.685181,384.528595,649.6762085
168.133,170.633,1.0,4.03632,160.3809884,1.05847021,1954.685181,384.528595,649.6762085
170.633,173.133,1.0,4.14505,139.5247092,2.3432371,1954.685181,384.528595,649.6762085
173.133,175.633,1.0,3.55318,67.00005964,0.0,1954.685181,384.528595,649.6762085
175.633,178.133,1.0,2.07706,46.09005664,0.76326924,1954.685181,384.528595,649.6762085
178.133,180.633,1.0,3.37002,125.0783535,1.20633982,1954.685181,384.528595,649.6762085
180.633,183.133,1.0,9.06742,52.18582467,4.1713358,1954.685181,384.528595,649.6762085
183.133,185.633,1.0,6.83065,49.55329859,0.68181828,1954.685181,384.528595,649.6762085
185.633,188.133,1.0,4.19436,182.1497309,1.87505874,1954.685181,384.528595,649.6762085
188.133,190.633,2.0,4.34761,169.7770617,0.61258851,1954.685181,384.528595,649.6762085
